tree_order	std_name	accession	replicate
186	BBB	ERR9593942	1
187	BAV	ERR9593940	1
188	CAE	ERR9594256	1
189	CAF	ERR9594257	1
190	CRL	ERR9594521	1
191	BBA	ERR9593941	1
192	SACE_YAY	ERR9594557	1
193	ADI	ERR9593653	1
194	SACE_YBA	ERR9594559	1
195	SACE_YAZ	ERR9594558	1
196	BMI	ERR9594138	1
197	SACE_YBE	ERR9594561	1
198	BMK	ERR9594139	1
199	SACE_YBF	ERR9594562	1
200	BMH	ERR9594137	1
201	ADD	ERR9593648	1
202	SACE_YBB	ERR9594560	1
203	SACE_YBG	ERR9594563	1
204	SACE_YBH	ERR9594564	1
205	CDS	ERR9594316	1
206	BIM	ERR9594087	1
207	BIN	ERR9594088	1
208	BKA	ERR9594094	1
209	BQQ	ERR9594194	1
210	ADS	ERR9593660	1
211	BNM	ERR9594159	1
212	ACR	ERR9593641	1
213	BIH	ERR9594083	1
214	BKC	ERR9594095	1
216	BKD	ERR9594096	1
217	BNP	ERR9594161	1
218	BKN	ERR9594106	1
219	BNQ	ERR9594162	1
220	CBH	ERR9594276	1
220	CBH	ERR9594277	2
221	BKH	ERR9594101	1
222	BPM	ERR9594176	1
223	BKP	ERR9594107	1
224	CRA	ERR9594513	1
225	CRB	ERR9594514	1
226	CHC	ERR9594370	1
227	CGS	ERR9594365	1
228	CHB	ERR9594369	1
229	CHD	ERR9594371	1
230	CGV	ERR9594367	1
231	CHA	ERR9594368	1
232	CHE	ERR9594372	1
233	AHI	ERR9593728	1
234	BKM	ERR9594105	1
235	BIF	ERR9594081	1
236	BKG	ERR9594099	1
236	BKG	ERR9594100	2
237	BKF	ERR9594098	1
238	BLL	ERR9594123	1
239	ARL	ERR9593865	1
240	CKI	ERR9594416	1
240	CKI	ERR9594417	2
241	CKL	ERR9594419	1
242	CKH	ERR9594415	1
243	CKD	ERR9594411	1
244	CKE	ERR9594412	1
245	CIS	ERR9594405	1
246	BMN	ERR9594142	1
247	CIT	ERR9594406	1
248	CKP	ERR9594421	1
249	CKQ	ERR9594422	1
250	CKB	ERR9594409	1
251	CKC	ERR9594410	1
252	CIQ	ERR9594403	1
253	CIM	ERR9594400	1
254	CIN	ERR9594401	1
255	CIR	ERR9594404	1
256	CKF	ERR9594413	1
257	CKG	ERR9594414	1
259	CIP	ERR9594402	1
260	BCA	ERR9593960	1
261	AMT	ERR9593808	1
262	CIV	ERR9594407	1
263	CKT	ERR9594425	1
264	BIL	ERR9594086	1
265	ABS	ERR9593622	1
266	BIP	ERR9594089	1
267	BIQ	ERR9594090	1
268	BNI	ERR9594156	1
269	BLV	ERR9594129	1
270	BQG	ERR9594188	1
271	CRD	ERR9594516	1
272	CRI	ERR9594519	1
273	BVM	ERR9594249	1
274	CQV	ERR9594512	1
275	CRK	ERR9594520	1
276	BLF	ERR9594118	1
277	CEA	ERR9594318	1
278	CEB	ERR9594319	1
279	BNT	ERR9594164	1
280	BLD	ERR9594116	1
281	BKR	ERR9594109	1
282	CEC	ERR9594320	1
283	BNH	ERR9594154	1
283	BNH	ERR9594155	2
284	BLC	ERR9594114	1
284	BLC	ERR9594115	2
286	BNN	ERR9594160	1
287	CED	ERR9594321	1
288	BKS	ERR9594110	1
289	BLP	ERR9594125	1
290	BLN	ERR9594124	1
292	CEF	ERR9594322	1
293	ANQ	ERR9593822	1
294	AVK	ERR9593909	1
295	BIK	ERR9594085	1
296	CLH	ERR9594432	1
297	AHN	ERR9593732	1
298	BSG	ERR9594216	1
299	SACE_YCA	ERR9594581	1
300	ACT	ERR9593643	1
301	ACV	ERR9593644	1
302	AKP	ERR9593769	1
303	AKV	ERR9593774	1
304	ALE	ERR9593779	1
305	BQP	ERR9594193	1
306	BRB	ERR9594199	1
307	BIT	ERR9594093	1
308	AQB	ERR9593845	1
309	BRH	ERR9594205	1
310	ABP	ERR9593619	1
311	BIR	ERR9594091	1
312	CPF	ERR9594482	1
313	BNG	ERR9594153	1
314	AIM	ERR9593750	1
315	CFB	ERR9594337	1
316	CHF	ERR9594373	1
317	BHB	ERR9594059	1
318	AAK	ERR9593598	1
319	AHP	ERR9593733	1
320	AET	ERR9593679	1
322	AQE	ERR9593848	1
323	AQP	ERR9593852	1
324	ASA	ERR9593874	1
325	BPL	ERR9594174	1
325	BPL	ERR9594175	2
326	AIP	ERR9593752	1
327	CAN	ERR9594262	1
328	CAB	ERR9594253	1
329	CAP	ERR9594263	1
330	AQC	ERR9593846	1
331	AHK	ERR9593729	1
332	AES	ERR9593678	1
333	AFI	ERR9593690	1
334	BPR	ERR9594180	1
335	AIA	ERR9593739	1
336	BVT	ERR9594250	1
337	CAA	ERR9594252	1
338	CAC	ERR9594254	1
339	BVV	ERR9594251	1
340	CAD	ERR9594255	1
342	CAQ	ERR9594264	1
343	CBB	ERR9594270	1
344	CBE	ERR9594273	1
345	AAE	ERR9593593	1
346	AIB	ERR9593740	1
347	CAS	ERR9594266	1
348	CAR	ERR9594265	1
349	CAT	ERR9594267	1
350	CBC	ERR9594271	1
351	CAV	ERR9594268	1
352	CBD	ERR9594272	1
353	AFV	ERR9593700	1
354	ART	ERR9593872	1
355	AIC	ERR9593741	1
356	SACE_YAF	ERR9594544	1
357	BSR	ERR9594222	1
358	BSS	ERR9594223	1
359	BTR	ERR9594237	1
360	BTP	ERR9594236	1
361	ASR	ERR9593885	1
362	SACE_YDJ	ERR9594610	1
363	AVB	ERR9593904	1
364	CDT	ERR9594317	1
365	CPG	ERR9594483	1
366	ABM	ERR9593618	1
367	AHM	ERR9593731	1
368	AQA	ERR9593844	1
369	AQD	ERR9593847	1
370	ATQ	ERR9593900	1
371	CGD	ERR9594353	1
372	CGE	ERR9594354	1
373	AHL	ERR9593730	1
374	BRK	ERR9594206	1
376	AID	ERR9593742	1
377	AIE	ERR9593743	1
378	SACE_YAE	ERR9594543	1
379	SACE_YDM	ERR9594612	1
380	AGN	ERR9593711	1
380	AGN	ERR9593712	2
381	AST	ERR9593887	1
382	BHE	ERR9594062	1
383	BHD	ERR9594061	1
384	BHM	ERR9594068	1
385	BHT	ERR9594074	1
386	ASV	ERR9593888	1
387	AHF	ERR9593724	1
388	AMP	ERR9593805	1
389	CPB	ERR9594478	1
390	ACS	ERR9593642	1
391	SACE_YCI	ERR9594590	1
393	BHK	ERR9594067	1
394	ACG	ERR9593631	1
395	ACH	ERR9593632	1
396	CHV	ERR9594386	1
396	CHV	ERR9594387	2
397	AFR	ERR9593697	1
398	BVC	ERR9594243	1
399	AEG	ERR9593669	1
400	AGM	ERR9593710	1
401	CNQ	ERR9594472	1
402	AEH	ERR9593670	1
403	AFD	ERR9593683	1
403	AFD	ERR9593684	2
403	AFD	ERR9593685	2
404	AHC	ERR9593720	1
405	BTT	ERR9594239	1
406	APH	ERR9593833	1
407	BTV	ERR9594240	1
408	BVA	ERR9594241	1
409	CMT	ERR9594459	1
410	CNG	ERR9594464	1
411	CNK	ERR9594467	1
412	APG	ERR9593832	1
413	CNM	ERR9594469	1
414	CNP	ERR9594471	1
415	CNR	ERR9594473	1
416	BVB	ERR9594242	1
417	CNI	ERR9594466	1
418	CNH	ERR9594465	1
419	BVH	ERR9594247	1
420	CNN	ERR9594470	1
421	CNF	ERR9594463	1
422	CNB	ERR9594460	1
423	BVG	ERR9594246	1
424	CNE	ERR9594462	1
425	CNL	ERR9594468	1
426	BVD	ERR9594244	1
427	BVF	ERR9594245	1
428	CNS	ERR9594474	1
429	CNT	ERR9594475	1
431	CNV	ERR9594476	1
432	AHB	ERR9593719	1
433	SACE_YBQ	ERR9594571	1
434	CCL	ERR9594291	1
435	BBQ	ERR9593955	1
436	BBS	ERR9593957	1
437	BFP	ERR9594033	1
438	BTG	ERR9594231	1
439	CLC	ERR9594429	1
440	CLB	ERR9594428	1
441	CLD	ERR9594430	1
442	AQM	ERR9593850	1
443	BFN	ERR9594032	1
