tree_order	std_name	accession	replicate
902	SACE_YBS	ERR9594572	1
903	SACE_YCU	ERR9594601	1
904	BBR	ERR9593956	1
905	SACE_YCO	ERR9594595	1
906	CMS	ERR9594458	1
907	ADG	ERR9593652	1
908	CDP	ERR9594312	1
908	CDP	ERR9594313	2
909	SACE_YDI	ERR9594609	1
910	ARH	ERR9593862	1
911	ARI	ERR9593863	1
912	AFK	ERR9593691	1
913	AHH	ERR9593727	1
915	CCV	ERR9594298	1
916	CDA	ERR9594299	1
917	AGR	ERR9593714	1
918	ARG	ERR9593861	1
919	SACE_YCM	ERR9594593	1
920	SACE_YDE	ERR9594606	1
921	SACE_YCN	ERR9594594	1
922	ASM	ERR9593882	1
923	CGH	ERR9594357	1
924	CEP	ERR9594331	1
925	CKR	ERR9594423	1
926	ARP	ERR9593868	1
927	AEF	ERR9593668	1
928	CMH	ERR9594449	1
928	CMH	ERR9594450	2
929	ARM	ERR9593866	1
930	CLI	ERR9594433	1
931	CMK	ERR9594452	1
932	CLQ	ERR9594438	1
933	CLN	ERR9594436	1
934	AFN	ERR9593694	1
935	ADQ	ERR9593658	1
936	AFM	ERR9593693	1
937	APA	ERR9593827	1
938	BTS	ERR9594238	1
939	ANT	ERR9593825	1
940	ANR	ERR9593823	1
941	ANV	ERR9593826	1
942	ADN	ERR9593657	1
943	CMF	ERR9594447	1
944	CMI	ERR9594451	1
945	AAD	ERR9593592	1
946	ANS	ERR9593824	1
947	AQN	ERR9593851	1
949	CMN	ERR9594455	1
950	APC	ERR9593828	1
951	APD	ERR9593829	1
952	AVC	ERR9593905	1
953	CMD	ERR9594445	1
954	CLP	ERR9594437	1
955	CMC	ERR9594444	1
956	APF	ERR9593831	1
957	APE	ERR9593830	1
958	AVD	ERR9593906	1
959	AVM	ERR9593911	1
960	CLT	ERR9594441	1
961	CLS	ERR9594440	1
962	CME	ERR9594446	1
963	CLL	ERR9594435	1
964	CLR	ERR9594439	1
965	CML	ERR9594453	1
966	CMM	ERR9594454	1
967	CMB	ERR9594443	1
968	AVL	ERR9593910	1
969	CLV	ERR9594442	1
970	CLK	ERR9594434	1
971	CQQ	ERR9594508	1
972	CQR	ERR9594509	1
973	AHQ	ERR9593734	1
974	CGL	ERR9594360	1
975	AFH	ERR9593689	1
976	AGG	ERR9593705	1
977	AEP	ERR9593675	1
978	CEV	ERR9594335	1
979	CGI	ERR9594358	1
980	CGN	ERR9594361	1
981	CGP	ERR9594362	1
982	CGG	ERR9594355	1
982	CGG	ERR9594356	2
983	CGR	ERR9594364	1
984	AQS	ERR9593855	1
985	BEH	ERR9594009	1
985	BEH	ERR9594010	2
986	ACM	ERR9593637	1
987	AKL	ERR9593764	1
987	AKL	ERR9593765	2
987	AKL	ERR9593766	2
988	ABB	ERR9593608	1
989	ACK	ERR9593634	1
989	ACK	ERR9593635	2
992	ALB	ERR9593776	1
993	AKR	ERR9593771	1
994	ALC	ERR9593777	1
995	ALH	ERR9593781	1
996	ALA	ERR9593775	1
997	ALK	ERR9593783	1
998	CGQ	ERR9594363	1
999	BRG	ERR9594204	1
1000	CGK	ERR9594359	1
1001	CHM	ERR9594378	1
1002	BHP	ERR9594070	1
1003	BHQ	ERR9594071	1
1004	BHR	ERR9594072	1
1005	BHS	ERR9594073	1
1006	BEF	ERR9594007	1
1007	CEK	ERR9594327	1
1008	CEL	ERR9594328	1
1009	SACE_YCJ	ERR9594591	1
1010	SACE_YCK	ERR9594592	1
1011	SACE_YDK	ERR9594611	1
NA	Y4-5	ERR9594522	1
NA	FY46	ERR9594523	1
NA	JLA	ERR9594524	1
NA	JLD	ERR9594525	1
NA	JLG	ERR9594526	1
NA	JLL	ERR9594527	1
NA	JLL	ERR9594528	2
NA	JLN	ERR9594529	1
NA	JLZ	ERR9594530	1
NA	M-11	ERR9594531	1
NA	XTRA_DCN	ERR9594615	1
NA	XTRA_DCO	ERR9594616	1
NA	XTRA_DCP	ERR9594617	1
NA	XTRA_DCT	ERR9594618	1
NA	XTRA_DCU	ERR9594619	1
NA	XTRA_DCV	ERR9594620	1
NA	XTRA_DCW	ERR9594621	1
NA	XTRA_DCZ	ERR9594622	1
NA	XTRA_DDB	ERR9594623	1
NA	XTRA_DGH	ERR9594624	1
NA	XTRA_DGR	ERR9594625	1
NA	XTRA_DGT	ERR9594626	1
NA	XTRA_DGT	ERR9594627	2
NA	XTRA_DGU	ERR9594628	1
NA	XTRA_DGW	ERR9594629	1
NA	XTRA_DGX	ERR9594630	1
NA	XTRA_DGY	ERR9594631	1
NA	XTRA_DHB	ERR9594632	1
NA	XTRA_DHE	ERR9594633	1
NA	XTRA_DHJ	ERR9594634	1
NA	XTRA_DHK	ERR9594635	1
NA	XTRA_DHQ	ERR9594636	1
NA	XTRA_DJR	ERR9594637	1
NA	XTRA_DXL	ERR9594638	1
