std_name,StrainName,Reference,SRA,Clade,ecological_value,eco_cat1,eco_cat2,eco_cat3
AAA,RM11-1a,Peter et al. 2018,ERR1309487,6. West Europe Wine,Wine,Wine,Brewery,Food
AAB,CBS422a,Peter et al. 2018,ERR1308784,12. Belgium Beer 1,Beer,Beer,Brewery,Food
AAC,CBS2165a,Peter et al. 2018,ERR1309038,19. UK Beer,Beer,Beer,Brewery,Food
AAD,CBS436a,Peter et al. 2018,ERR1308805,29. Sake,Sake,Sake,Distillary,Food
AAE,CBS2806a,Peter et al. 2018,ERR1309410,5. Georgian Wine,Wine,Wine,Brewery,Food
AAG,CBS428a,Peter et al. 2018,ERR1308974,NA,NA,NA,NA,NA
AAH,CBS1388a,Peter et al. 2018,ERR1309088,NA,NA,NA,NA,NA
AAI,CBS2966a,Peter et al. 2018,ERR1309457,1. AU Wine 1,Distillery,NA,Distilery,Food
AAK,CBS4093a,Peter et al. 2018,ERR1308664,5. Georgian Wine,Wine,Wine,Brewery,Food
AAL,CBS1236-a,Peter et al. 2018,ERR1309297,20. Mixed Origins 1,Bakery,NA,Baking,Food
AAM,CLIB192_1b,Peter et al. 2018,ERR1308737,20. Mixed Origins 1,Bakery,NA,Baking,Food
AAN,CLIB274_1,Peter et al. 2018,ERR1308608,20. Mixed Origins 1,Bakery,NA,Baking,Food
AAP,CLIB326_1,Peter et al. 2018,ERR1309494,20. Mixed Origins 1,Bakery,NA,Baking,Food
AAQ,CLIB272_2,Peter et al. 2018,ERR1309237,12. Belgium Beer 1,Beer,Beer,Brewery,Food
AAR,CLIB382_1b,Peter et al. 2018,ERR1308657,12. Belgium Beer 1,Beer,Beer,Brewery,Food
AAS,YJM145_b,Peter et al. 2018,ERR1309268,25. US Clinical 1,Human_clinical,NA,Human,Clinical
AAT,YJM280_b,Peter et al. 2018,ERR1308747,25. US Clinical 1,Human_clinical,NA,Human,Clinical
AAV,YJM320b,Peter et al. 2018,ERR1309414,25. US Clinical 1,Human_clinical,NA,Human,Clinical
ABA,YJM326_b,Peter et al. 2018,ERR1308820,NA,Human_clinical,NA,Human,Clinical
ABB,YJM413_b,Peter et al. 2018,ERR1308725,30. Mantou,Human_clinical,NA,Human,Clinical
ABC,YJM421_b,Peter et al. 2018,ERR1309192,32. US Clinical 3,Human_clinical,NA,Human,Clinical
ABD,YJM428_1b,Peter et al. 2018,ERR1309216,NA,Human_clinical,NA,Human,Clinical
ABE,YJM434_1b,Peter et al. 2018,ERR1309094,1. AU Wine 1,Human_clinical,NA,Human,Clinical
ABF,YJM436_1b,Peter et al. 2018,ERR1308756,NA,Human_clinical,NA,Human,Clinical
ABG,YJM440_1b,Peter et al. 2018,ERR1308928,25. US Clinical 1,Human_clinical,NA,Human,Clinical
ABH,YJM454_1b,Peter et al. 2018,ERR1309451,NA,Human_clinical,NA,Human,Clinical
ABI,YJM653_1b,Peter et al. 2018,ERR1309242,25. US Clinical 1,Human_clinical,NA,Human,Clinical
ABK,YJM678_1b,Peter et al. 2018,ERR1309051,25. US Clinical 1,Human_clinical,NA,Human,Clinical
ABL,CBS2888_1b,Peter et al. 2018,ERR1309450,36. North American Wild,Soil,NA,Soil,Environmental
ABM,CBS3093_1b,Peter et al. 2018,ERR1309305,3. Alpechin,Industrial,NA,Industrial,Industrial
ABP,CECT10109_1b,Peter et al. 2018,ERR1309483,7. AU Wine 3,Fruit,NA,Fruit,Plant
ABQ,DBVPG1788_1b,Peter et al. 2018,ERR1309108,1. AU Wine 1,Soil,NA,Soil,Environmental
ABR,DBVPG1794_1b,Peter et al. 2018,ERR1308614,1. AU Wine 1,Soil,NA,Soil,Environmental
ABS,DBVPG3591_1b,Peter et al. 2018,ERR1309033,6. West Europe Wine,Nature,NA,NA,Environmental
ABT,DBVPG4651_1b,Peter et al. 2018,ERR1308686,7. AU Wine 3,Nature,NA,NA,Environmental
ABV,DBVPG6861,Peter et al. 2018,ERR1308582,20. Mixed Origins 1,Water,NA,Water,Environmental
ACA,EM93_3,Peter et al. 2018,ERR1309429,24. Lab Strains,Fruit,NA,Fruit,Plant
ACB,TL229S2.2,Peter et al. 2018,ERR1308825,24. Lab Strains,Dairy,NA,Dairy,Food
ACC,YPS1000_1b,Peter et al. 2018,ERR1308993,34. South American Wild,Tree,NA,Tree,Plant
ACD,YPS163_1b,Peter et al. 2018,ERR1308915,39. Asian Oak,Tree,NA,Tree,Plant
ACF,CLIB294_1b,Peter et al. 2018,ERR1309423,1. AU Wine 1,Distillery,NA,Distilery,Food
ACG,CLIB413_1b,Peter et al. 2018,ERR1309431,NA,Fermentation,NA,Fermentation,Food
ACH,CLIB483_1b,Peter et al. 2018,ERR1309194,NA,Cider,Cider,Brewery,Food
ACI,Y10_1b,Peter et al. 2018,ERR1309154,NA,Fruit,NA,Fruit,Plant
ACK,Y12_1b,Peter et al. 2018,ERR1308893,30. Mantou,Palm wine,Palm Wine,Brewery,Food
ACL,Y3_1b,Peter et al. 2018,ERR1309459,NA,Palm wine,Palm Wine,Brewery,Food
ACM,Y9_4,Peter et al. 2018,ERR1308607,30. Mantou,Fermentation,NA,Fermentation,Food
ACN,YJM269_1b,Peter et al. 2018,ERR1308890,24. Lab Strains,Wine,Wine,Brewery,Food
ACP,CLIB154_1b,Peter et al. 2018,ERR1308665,1. AU Wine 1,Wine,Wine,Brewery,Food
ACQ,CLIB219_2b,Peter et al. 2018,ERR1308618,35. Chinese Wild,Wine,Wine,Brewery,Food
ACR,DBVPG1339_1b,Peter et al. 2018,ERR1309466,6. West Europe Wine,Wine,Wine,Brewery,Food
ACS,I14_1b,Peter et al. 2018,ERR1309144,NA,Wine,Wine,Brewery,Food
ACT,UC8_1b,Peter et al. 2018,ERR1308791,7. AU Wine 3,Wine,Wine,Brewery,Food
ACV,WE372_1b,Peter et al. 2018,ERR1308596,7. AU Wine 3,Wine,Wine,Brewery,Food
ADA,Y55_1b,Peter et al. 2018,ERR1309427,NA,Wine,Wine,Brewery,Food
ADB,Y9J_1b,Peter et al. 2018,ERR1309415,7. AU Wine 3,Wine,Wine,Brewery,Food
ADC,UC1_1b,Peter et al. 2018,ERR1308809,6. West Europe Wine,Wine,Wine,Brewery,Food
ADD,IL_01_b,Peter et al. 2018,ERR1308917,7. AU Wine 3,Soil,NA,Soil,Environmental
ADE,PW5_b,Peter et al. 2018,ERR1309020,22. French Guiana Human,Palm wine,Palm Wine,Brewery,Food
ADF,YPS1009_b,Peter et al. 2018,ERR1309089,33. African Palm Wine,Tree,NA,Tree,Plant
ADG,NC_02_b,Peter et al. 2018,ERR1308685,36. North American Wild,Tree,NA,Tree,Plant
ADH,T7_b,Peter et al. 2018,ERR1309064,30. Mantou,Tree,NA,Tree,Plant
ADI,YJM981_b,Peter et al. 2018,ERR1308593,7. AU Wine 3,Human_clinical,NA,Human,Clinical
ADK,CLIB208_1,Peter et al. 2018,ERR1308807,NA,Bakery,NA,Baking,Food
ADL,CLIB318_1,Peter et al. 2018,ERR1309122,21. Mixed Origins 2,Bakery,NA,Baking,Food
ADM,CLIB324_2,Peter et al. 2018,ERR1309212,21. Mixed Origins 2,Bakery,NA,Baking,Food
ADN,K1_1,Peter et al. 2018,ERR1309159,29. Sake,Sake,Sake,Distillary,Food
ADP,Y6_b,Peter et al. 2018,ERR1308698,20. Mixed Origins 1,NA,NA,NA,NA
ADQ,K12_2,Peter et al. 2018,ERR1309029,29. Sake,Sake,Sake,Distillary,Food
ADR,M22_1b,Peter et al. 2018,ERR1308788,8. AU Wine 4,Wine,Wine,Brewery,Food
ADS,T73_1b,Peter et al. 2018,ERR1309526,6. West Europe Wine,Wine,Wine,Brewery,Food
ADT,CBS7765,Peter et al. 2018,ERR1309028,24. Lab Strains,Nature,NA,NA,Environmental
ADV,CBS7903,Peter et al. 2018,ERR1309484,33. African Palm Wine,Palm wine,Palm Wine,Brewery,Food
AEA,CBS7958,Peter et al. 2018,ERR1309406,12. Belgium Beer 1,Industrial,NA,Industrial,Industrial
AEB,CBS1171,Peter et al. 2018,ERR1309300,18. Belgium Beer 2,Beer,Beer,Brewery,Food
AEC,CBS1248,Peter et al. 2018,ERR1309314,19. UK Beer,Beer,Beer,Brewery,Food
AEE,CBS2441,Peter et al. 2018,ERR1309047,NA,Distillery,NA,Distilery,Food
AEF,CBS6414,Peter et al. 2018,ERR1308873,29. Sake,Sake,Sake,Distillary,Food
AEG,CBS7962,Peter et al. 2018,ERR1308731,11. Brazilian Bioethanol,Industrial,NA,Industrial,Industrial
AEH,CBS7964,Peter et al. 2018,ERR1308847,11. Brazilian Bioethanol,Industrial,NA,Industrial,Industrial
AEI,CBS1428,Peter et al. 2018,ERR1308980,NA,Bakery,NA,Baking,Food
AEK,CBS4079,Peter et al. 2018,ERR1308639,5. Georgian Wine,Wine,Wine,Brewery,Food
AEL,CBS1394,Peter et al. 2018,ERR1309101,NA,Distillery,NA,Distilery,Food
AEM,CBS2973,Peter et al. 2018,ERR1308627,20. Mixed Origins 1,Beer,Beer,Brewery,Food
AEN,CBS4454,Peter et al. 2018,ERR1309076,15. African Beer,Beer,Beer,Brewery,Food
AEP,CBS1508,Peter et al. 2018,ERR1309160,30. Mantou,Distillery,NA,Distilery,Food
AEQ,CBS1782,Peter et al. 2018,ERR1309512,12. Belgium Beer 1,Beer,Beer,Brewery,Food
AER,CBS2970,Peter et al. 2018,ERR1309522,NA,Industrial,NA,Industrial,Industrial
AES,CBS4054,Peter et al. 2018,ERR1309368,5. Georgian Wine,Wine,Wine,Brewery,Food
AET,CBS6007,Peter et al. 2018,ERR1308679,5. Georgian Wine,Wine,Wine,Brewery,Food
AEV,CBS6216,Peter et al. 2018,ERR1308650,NA,Water,NA,Water,Environmental
AFA,CBS6503,Peter et al. 2018,ERR1309420,12. Belgium Beer 1,Beer,Beer,Brewery,Food
AFB,CBS7371,Peter et al. 2018,ERR1308680,12. Belgium Beer 1,Beer,Beer,Brewery,Food
AFC,CBS7764,Peter et al. 2018,ERR1309327,20. Mixed Origins 1,Fruit,NA,Fruit,Plant
AFD,CBS7960,Peter et al. 2018,ERR1308983,11. Brazilian Bioethanol,Industrial,NA,Industrial,Industrial
AFE,CBS8291,Peter et al. 2018,ERR1309127,20. Mixed Origins 1,Water,NA,Water,Environmental
AFF,CBS1252,Peter et al. 2018,ERR1309131,NA,Bakery,NA,Baking,Food
AFG,CBS1387,Peter et al. 2018,ERR1309145,NA,Bakery,NA,Baking,Food
AFH,CBS1509,Peter et al. 2018,ERR1309521,30. Mantou,Distillery,NA,Distilery,Food
AFI,CBS2183,Peter et al. 2018,ERR1309513,5. Georgian Wine,Wine,Wine,Brewery,Food
AFK,CBS2992,Peter et al. 2018,ERR1308753,38. Taiwan Wild 2,Palm wine,Palm Wine,Brewery,Food
AFL,CBS4456,Peter et al. 2018,ERR1308843,15. African Beer,Beer,Beer,Brewery,Food
AFM,CBS6412,Peter et al. 2018,ERR1308937,29. Sake,Sake,Sake,Distillary,Food
AFN,CBS6413,Peter et al. 2018,ERR1309509,29. Sake,Sake,Sake,Distillary,Food
AFP,CBS6505,Peter et al. 2018,ERR1309364,12. Belgium Beer 1,Beer,Beer,Brewery,Food
AFQ,CBS7993,Peter et al. 2018,ERR1308647,NA,Water,NA,Water,Environmental
AFR,CBS7959,Peter et al. 2018,ERR1309137,11. Brazilian Bioethanol,Industrial,NA,Industrial,Industrial
AFS,CBS1173,Peter et al. 2018,ERR1309114,NA,Fruit,NA,Fruit,Plant
AFT,CBS1464,Peter et al. 2018,ERR1308987,20. Mixed Origins 1,Human_clinical,NA,Human,Clinical
AFV,CBS2814,Peter et al. 2018,ERR1308598,5. Georgian Wine,Wine,Wine,Brewery,Food
AGA,CBS3012,Peter et al. 2018,ERR1308814,7. AU Wine 3,Wine,Wine,Brewery,Food
AGB,CBS6308,Peter et al. 2018,ERR1308892,19. UK Beer,Beer,Beer,Brewery,Food
AGC,CBS2444,Peter et al. 2018,ERR1309000,NA,Distillery,NA,Distilery,Food
AGE,CBS1385,Peter et al. 2018,ERR1309444,20. Mixed Origins 1,Bakery,NA,Baking,Food
AGF,CBS1479,Peter et al. 2018,ERR1309486,1. AU Wine 1,Wine,Wine,Brewery,Food
AGG,CBS1480,Peter et al. 2018,ERR1308790,30. Mantou,Distillery,NA,Distilery,Food
AGH,CBS1582,Peter et al. 2018,ERR1309035,1. AU Wine 1,Wine,Wine,Brewery,Food
AGI,CBS1590,Peter et al. 2018,ERR1308800,1. AU Wine 1,Wine,Wine,Brewery,Food
AGK,CBS2361,Peter et al. 2018,ERR1308845,20. Mixed Origins 1,Nature,NA,NA,Environmental
AGL,CBS4458,Peter et al. 2018,ERR1308762,1. AU Wine 1,Wine,Wine,Brewery,Food
AGM,CBS7961,Peter et al. 2018,ERR1309110,11. Brazilian Bioethanol,Industrial,NA,Industrial,Industrial
AGN,CBS439,Peter et al. 2018,ERR1309412,1. AU Wine 1,Wine,Wine,Brewery,Food
AGP,CBS1544,Peter et al. 2018,ERR1308795,NA,Fruit,NA,Fruit,Plant
AGR,CBS1594,Peter et al. 2018,ERR1309258,38. Taiwan Wild 2,Nature,NA,NA,Environmental
AGS,CBS3013,Peter et al. 2018,ERR1309241,7. AU Wine 3,Wine,Wine,Brewery,Food
AGT,CBS3078,Peter et al. 2018,ERR1308673,NA,NA,NA,NA,NA
AGV,CBS6223,Peter et al. 2018,ERR1308636,7. AU Wine 3,Wine,Wine,Brewery,Food
AHA,CBS6333,Peter et al. 2018,ERR1309481,NA,Fruit,NA,Fruit,Plant
AHB,CBS4734,Peter et al. 2018,ERR1309288,NA,Nature,NA,NA,Environmental
AHC,CBS7963,Peter et al. 2018,ERR1309041,11. Brazilian Bioethanol,Industrial,NA,Industrial,Industrial
AHD,CBS1192,Peter et al. 2018,ERR1309455,1. AU Wine 1,Wine,Wine,Brewery,Food
AHE,CBS1194,Peter et al. 2018,ERR1309472,1. AU Wine 1,Wine,Wine,Brewery,Food
AHF,CBS1540,Peter et al. 2018,ERR1309361,10. AU Wine 6,Nature,NA,NA,Environmental
AHG,CBS1586,Peter et al. 2018,ERR1308781,1. AU Wine 1,Fruit,NA,Fruit,Plant
AHH,CBS3000,Peter et al. 2018,ERR1308924,38. Taiwan Wild 2,Palm wine,Palm Wine,Brewery,Food
AHI,CBS6914,Peter et al. 2018,ERR1308956,6. West Europe Wine,Wine,Wine,Brewery,Food
AHK,CBS2247,Peter et al. 2018,ERR1308738,5. Georgian Wine,Wine,Wine,Brewery,Food
AHL,CBS3081,Peter et al. 2018,ERR1309499,3. Alpechin,Industrial,NA,Industrial,Industrial
AHM,CBS3093,Peter et al. 2018,ERR1308934,3. Alpechin,Industrial,NA,Industrial,Industrial
AHN,CBS5635,Peter et al. 2018,ERR1309240,7. AU Wine 3,Wine,Wine,Brewery,Food
AHP,CBS5835,Peter et al. 2018,ERR1309345,5. Georgian Wine,Wine,Wine,Brewery,Food
AHQ,CBS440,Peter et al. 2018,ERR1309019,30. Mantou,Industrial,NA,Industrial,Industrial
AHR,CBS1227,Peter et al. 2018,ERR1308770,1. AU Wine 1,Human_clinical,NA,Human,Clinical
AHS,CBS1419,Peter et al. 2018,ERR1308920,33. African Palm Wine,Wine,Wine,Brewery,Food
AHT,CBS1460,Peter et al. 2018,ERR1309437,6. West Europe Wine,Fermentation,NA,Fermentation,Food
AHV,CBS1487,Peter et al. 2018,ERR1309271,20. Mixed Origins 1,Beer,Beer,Brewery,Food
AIA,CBS2180,Peter et al. 2018,ERR1309200,5. Georgian Wine,Wine,Wine,Brewery,Food
AIB,CBS2805,Peter et al. 2018,ERR1308949,5. Georgian Wine,Wine,Wine,Brewery,Food
AIC,CBS2807,Peter et al. 2018,ERR1309173,5. Georgian Wine,Wine,Wine,Brewery,Food
AID,CBS2909,Peter et al. 2018,ERR1309135,3. Alpechin,Human,NA,Human,Clinical
AIE,CBS2910,Peter et al. 2018,ERR1308671,3. Alpechin,Human,NA,Human,Clinical
AIF,CBS457,Peter et al. 2018,ERR1309471,1. AU Wine 1,Wine,Wine,Brewery,Food
AIG,CBS1463,Peter et al. 2018,ERR1309438,12. Belgium Beer 1,Beer,Beer,Brewery,Food
AII,C6.1,Peter et al. 2018,ERR1308616,1. AU Wine 1,Palm wine,Palm Wine,Brewery,Food
AIK,C15.1,Peter et al. 2018,ERR1308901,1. AU Wine 1,Nature,NA,NA,Environmental
AIL,C10.4,Peter et al. 2018,ERR1308977,7. AU Wine 3,Nature,NA,NA,Environmental
AIM,E4,Peter et al. 2018,ERR1309350,NA,Wine,Wine,Brewery,Food
AIN,MC5,Peter et al. 2018,ERR1309152,1. AU Wine 1,Wine,Wine,Brewery,Food
AIP,MC6,Peter et al. 2018,ERR1308832,5. Georgian Wine,Wine,Wine,Brewery,Food
AIQ,MC7,Peter et al. 2018,ERR1308643,1. AU Wine 1,Fermentation,NA,Fermentation,Food
AIR,MC8,Peter et al. 2018,ERR1308799,1. AU Wine 1,Wine,Wine,Brewery,Food
AIT,MC10,Peter et al. 2018,ERR1309206,1. AU Wine 1,Wine,Wine,Brewery,Food
AKB,NPA07.1,Peter et al. 2018,ERR1309231,33. African Palm Wine,Palm wine,Palm Wine,Brewery,Food
AKC,NPA05a1,Peter et al. 2018,ERR1309493,33. African Palm Wine,Palm wine,Palm Wine,Brewery,Food
AKD,NPA05b1,Peter et al. 2018,ERR1309113,33. African Palm Wine,Palm wine,Palm Wine,Brewery,Food
AKE,NPA03.1,Peter et al. 2018,ERR1308907,33. African Palm Wine,Palm wine,Palm Wine,Brewery,Food
AKG,NPA06.1,Peter et al. 2018,ERR1309112,33. African Palm Wine,Palm wine,Palm Wine,Brewery,Food
AKH,NPA02-1,Peter et al. 2018,ERR1309124,33. African Palm Wine,Palm wine,Palm Wine,Brewery,Food
AKI,DBVPG6044,Peter et al. 2018,ERR1308695,NA,Wine,Wine,Brewery,Food
AKL,K12,Peter et al. 2018,ERR1308634,30. Mantou,Sake,Sake,Distillary,Food
AKM,UWOPS03-461.4,Peter et al. 2018,ERR1309380,NA,Tree,NA,Tree,Plant
AKN,YPS128,Peter et al. 2018,ERR1308708,39. Asian Oak,Soil,NA,Soil,Environmental
AKP,CLQCA_02-003,Peter et al. 2018,ERR1309507,7. AU Wine 3,Industrial,NA,Industrial,Industrial
AKQ,CLQCA_04-021,Peter et al. 2018,ERR1309442,NA,Insect,NA,Animal,Clinical
AKR,CLQCA_05-006,Peter et al. 2018,ERR1308765,31. Huangjiu,Fruit,NA,Fruit,Plant
AKS,CLQCA_09-001,Peter et al. 2018,ERR1308945,NA,Flower,NA,Flower,Plant
AKT,CLQCA_10-003,Peter et al. 2018,ERR1308849,21. Mixed Origins 2,Insect,NA,Animal,Clinical
AKV,CLQCA_10-027,Peter et al. 2018,ERR1309390,7. AU Wine 3,Nature,NA,NA,Environmental
ALA,CLQCA_10-619,Peter et al. 2018,ERR1309430,31. Huangjiu,Insect,NA,Animal,Clinical
ALB,CLQCA_10-620,Peter et al. 2018,ERR1308938,31. Huangjiu,Insect,NA,Animal,Clinical
ALC,CLQCA_11-024,Peter et al. 2018,ERR1308644,31. Huangjiu,Nature,NA,NA,Environmental
ALD,CLQCA_13-023,Peter et al. 2018,ERR1308986,13. French Dairy,Nature,NA,NA,Environmental
ALE,CLQCA_17-060,Peter et al. 2018,ERR1308834,7. AU Wine 3,Insect,NA,Animal,Clinical
ALG,CLQCA_18-003,Peter et al. 2018,ERR1309039,NA,Fruit,NA,Fruit,Plant
ALH,CLQCA_19-011,Peter et al. 2018,ERR1308972,31. Huangjiu,Nature,NA,NA,Environmental
ALI,CLQCA_20-060,Peter et al. 2018,ERR1309514,22. French Guiana Human,Water,NA,Water,Environmental
ALK,CLQCA_24SC-235,Peter et al. 2018,ERR1308623,31. Huangjiu,Tree,NA,Tree,Plant
ALL,36271,Peter et al. 2018,ERR1309208,1. AU Wine 1,Water,NA,Water,Environmental
ALM,21-4-101,Peter et al. 2018,ERR1308792,1. AU Wine 1,Water,NA,Water,Environmental
ALN,21-4-103,Peter et al. 2018,ERR1309320,20. Mixed Origins 1,Water,NA,Water,Environmental
ALP,21-4-105,Peter et al. 2018,ERR1309260,20. Mixed Origins 1,Water,NA,Water,Environmental
ALQ,21-4-111,Peter et al. 2018,ERR1308863,1. AU Wine 1,Tree,NA,Tree,Plant
ALR,21-4-114,Peter et al. 2018,ERR1308879,NA,Tree,NA,Tree,Plant
ALS,21-4-116,Peter et al. 2018,ERR1309003,1. AU Wine 1,Flower,NA,Flower,Plant
ALT,21-4-122,Peter et al. 2018,ERR1309227,1. AU Wine 1,Flower,NA,Flower,Plant
ALV,21-4-124,Peter et al. 2018,ERR1309155,20. Mixed Origins 1,Fruit,NA,Fruit,Plant
AMA,21-4-125,Peter et al. 2018,ERR1308966,1. AU Wine 1,Fruit,NA,Fruit,Plant
AMB,IY_03-5-30-1-1-1_(1),Peter et al. 2018,ERR1308617,36. North American Wild,Insect,NA,Animal,Clinical
AMC,IY_03-5-26-5-1-1_(1),Peter et al. 2018,ERR1308975,36. North American Wild,Insect,NA,Animal,Clinical
AMD,ES4M07,Peter et al. 2018,ERR1308587,39. Asian Oak,Fruit,NA,Fruit,Plant
AMF,ES2M03,Peter et al. 2018,ERR1309335,39. Asian Oak,Fruit,NA,Fruit,Plant
AMG,SJ7L01,Peter et al. 2018,ERR1309347,20. Mixed Origins 1,Tree,NA,Tree,Plant
AMH,EN14S01,Peter et al. 2018,ERR1308682,35. Chinese Wild,Soil,NA,Soil,Environmental
AMI,SJ1L04,Peter et al. 2018,ERR1309063,20. Mixed Origins 1,Tree,NA,Tree,Plant
AMK,SJ6L01,Peter et al. 2018,ERR1309092,20. Mixed Origins 1,Tree,NA,Tree,Plant
AML,SJ5L11,Peter et al. 2018,ERR1308615,20. Mixed Origins 1,Tree,NA,Tree,Plant
AMM,SJ5L12,Peter et al. 2018,ERR1308766,NA,Tree,NA,Tree,Plant
AMN,SJ5L13,Peter et al. 2018,ERR1309385,20. Mixed Origins 1,Tree,NA,Tree,Plant
AMP,SJ5L14,Peter et al. 2018,ERR1309121,10. AU Wine 6,Fruit,NA,Fruit,Plant
AMQ,SJ5L15,Peter et al. 2018,ERR1308864,20. Mixed Origins 1,Tree,NA,Tree,Plant
AMR,SJ5L16,Peter et al. 2018,ERR1309143,7. AU Wine 3,Soil,NA,Soil,Environmental
AMS,SJ5L17,Peter et al. 2018,ERR1308981,7. AU Wine 3,Probiotic,NA,Human,Clinical
AMT,SJ5L18,Peter et al. 2018,ERR1308624,6. West Europe Wine,Probiotic,NA,Human,Clinical
ANA,DBVPG6696,Peter et al. 2018,ERR1309098,NA,Wine,Wine,Brewery,Food
ANC,YPS129,Peter et al. 2018,ERR1309458,39. Asian Oak,Tree,NA,Tree,Plant
AND,YPS133,Peter et al. 2018,ERR1309359,39. Asian Oak,Soil,NA,Soil,Environmental
ANE,YPS134,Peter et al. 2018,ERR1308867,39. Asian Oak,Soil,NA,Soil,Environmental
ANF,YPS139,Peter et al. 2018,ERR1308955,39. Asian Oak,Soil,NA,Soil,Environmental
ANG,YPS141,Peter et al. 2018,ERR1308936,39. Asian Oak,Soil,NA,Soil,Environmental
ANH,YPS142,Peter et al. 2018,ERR1308739,39. Asian Oak,Nature,NA,NA,Environmental
ANI,YPS143,Peter et al. 2018,ERR1309448,39. Asian Oak,Soil,NA,Soil,Environmental
ANK,YPS154,Peter et al. 2018,ERR1309162,39. Asian Oak,Tree,NA,Tree,Plant
ANL,A-6,Peter et al. 2018,ERR1308751,15. African Beer,Beer,Beer,Brewery,Food
ANM,A-18,Peter et al. 2018,ERR1308960,15. African Beer,Beer,Beer,Brewery,Food
ANN,AY529516,Peter et al. 2018,ERR1308724,26. West African Cocoa,Fermentation,NA,Fermentation,Food
ANP,UWOPS83-883-2,Peter et al. 2018,ERR1309376,20. Mixed Origins 1,Insect,NA,Animal,Clinical
ANQ,L-1191,Peter et al. 2018,ERR1309495,6. West Europe Wine,Wine,Wine,Brewery,Food
ANR,RIB0001,Peter et al. 2018,ERR1309353,29. Sake,Sake,Sake,Distillary,Food
ANS,RIB0002,Peter et al. 2018,ERR1308880,29. Sake,Sake,Sake,Distillary,Food
ANT,RIB0003,Peter et al. 2018,ERR1309011,29. Sake,Sake,Sake,Distillary,Food
ANV,RIB0004,Peter et al. 2018,ERR1308740,29. Sake,Sake,Sake,Distillary,Food
APA,RIB0005,Peter et al. 2018,ERR1308829,29. Sake,Sake,Sake,Distillary,Food
APC,RIB1001,Peter et al. 2018,ERR1309055,29. Sake,Sake,Sake,Distillary,Food
APD,RIB1002,Peter et al. 2018,ERR1308912,29. Sake,Sake,Sake,Distillary,Food
APE,RIB1003,Peter et al. 2018,ERR1309140,29. Sake,Sake,Sake,Distillary,Food
APF,RIB1004,Peter et al. 2018,ERR1308759,29. Sake,Sake,Sake,Distillary,Food
APG,VF8_(6),Peter et al. 2018,ERR1309220,11. Brazilian Bioethanol,Bioethanol,NA,Bioethanol,Industrial
APH,M1.1,Peter et al. 2018,ERR1308918,11. Brazilian Bioethanol,Distillery,NA,Distilery,Food
API,YS20,Peter et al. 2018,ERR1308707,20. Mixed Origins 1,Bakery,NA,Baking,Food
APK,YS10(E),Peter et al. 2018,ERR1308678,20. Mixed Origins 1,Bakery,NA,Baking,Food
APL,YS11(E),Peter et al. 2018,ERR1309404,NA,Bakery,NA,Baking,Food
APM,YS15,Peter et al. 2018,ERR1309296,20. Mixed Origins 1,Bakery,NA,Baking,Food
APN,YS19,Peter et al. 2018,ERR1309119,20. Mixed Origins 1,Bakery,NA,Baking,Food
APP,CBS382,Peter et al. 2018,ERR1309259,NA,Beer,Beer,Brewery,Food
APQ,CBS400,Peter et al. 2018,ERR1309447,33. African Palm Wine,Palm wine,Palm Wine,Brewery,Food
APR,CBS403,Peter et al. 2018,ERR1308871,33. African Palm Wine,Beer,Beer,Brewery,Food
APS,CBS423,Peter et al. 2018,ERR1308939,1. AU Wine 1,Wine,Wine,Brewery,Food
APT,CBS459,Peter et al. 2018,ERR1308651,1. AU Wine 1,Wine,Wine,Brewery,Food
APV,CBS1250,Peter et al. 2018,ERR1309025,1. AU Wine 1,Wine,Wine,Brewery,Food
AQA,CBS4903,Peter et al. 2018,ERR1309511,3. Alpechin,Industrial,NA,Industrial,Industrial
AQB,CBS5112,Peter et al. 2018,ERR1308988,7. AU Wine 3,Wine,Wine,Brewery,Food
AQC,CBS5155,Peter et al. 2018,ERR1308897,5. Georgian Wine,Wine,Wine,Brewery,Food
AQD,CBS5378,Peter et al. 2018,ERR1309262,3. Alpechin,Industrial,NA,Industrial,Industrial
AQE,CBS6006,Peter et al. 2018,ERR1308580,5. Georgian Wine,Wine,Wine,Brewery,Food
AQG,CBS7539,Peter et al. 2018,ERR1308609,12. Belgium Beer 1,Beer,Beer,Brewery,Food
AQH,CBS7957,Peter et al. 2018,ERR1309146,12. Belgium Beer 1,Industrial,NA,Industrial,Industrial
AQI,CBS8292,Peter et al. 2018,ERR1309318,20. Mixed Origins 1,Water,NA,Water,Environmental
AQM,CBS420,Peter et al. 2018,ERR1308875,13. French Dairy,Dairy,NA,Dairy,Food
AQN,CBS435,Peter et al. 2018,ERR1308777,29. Sake,Sake,Sake,Distillary,Food
AQP,CBS462,Peter et al. 2018,ERR1309355,5. Georgian Wine,Wine,Wine,Brewery,Food
AQQ,CBS1175,Peter et al. 2018,ERR1308811,1. AU Wine 1,Wine,Wine,Brewery,Food
AQR,CBS1190,Peter et al. 2018,ERR1308923,1. AU Wine 1,Wine,Wine,Brewery,Food
AQS,CBS1196,Peter et al. 2018,ERR1308967,30. Mantou,Distillery,NA,Distilery,Food
AQT,CBS1230,Peter et al. 2018,ERR1309217,18. Belgium Beer 2,Beer,Beer,Brewery,Food
