std_name,StrainName,Reference,SRA,Clade,ecological_value,eco_cat1,eco_cat2,eco_cat3
XTRA_DAI,UFMG-CM-Y640,Barbosa et al. 2016,ERR1111494,36. North American Wild,soil,NA,Soil,Environmental
XTRA_DAJ,UFMG-CM-Y641,Barbosa et al. 2016,ERR1111495,22. French Guiana Human,Tapirira guianensis,NA,Leaf,Plant
XTRA_DAK,UFMG-CM-Y642,Barbosa et al. 2016,ERR1111496,22. French Guiana Human,Tapirira guianensis,NA,Leaf,Plant
XTRA_DAL,UFMG-CM-Y645,Barbosa et al. 2016,ERR1111497,34. South American Wild,Tapirira guianensis,NA,Leaf,Plant
XTRA_DAM,UFMG-CM-Y646,Barbosa et al. 2016,ERR1111498,34. South American Wild,Tapirira guianensis,NA,Leaf,Plant
XTRA_DAN,UFMG-CM-Y647,Barbosa et al. 2016,ERR1111499,34. South American Wild,Tapirira guianensis,NA,Leaf,Plant
XTRA_DAO,UFMG-CM-Y649,Barbosa et al. 2016,ERR1111500,NA,Tapirira guianensis,NA,Leaf,Plant
XTRA_DAP,UFMG-CM-Y650,Barbosa et al. 2016,ERR1111501,NA,Tapirira guianensis,NA,Leaf,Plant
XTRA_DAS,UFMG-CM-Y255,Barbosa et al. 2016,ERR1111504,36. North American Wild,Non identified tree,NA,Tree,Plant
XTRA_DAT,UFMG-CM-Y257,Barbosa et al. 2016,ERR1111505,34. South American Wild,Quercus rubra,Bark,Tree,Plant
XTRA_DAU,UFMG-CM-Y263,Barbosa et al. 2016,ERR1111506,22. French Guiana Human,Tapirira guianensis,NA,Leaf,Plant
XTRA_DAV,UFMG-CM-Y266,Barbosa et al. 2016,ERR1111507,34. South American Wild,Tapirira guianensis,NA,Leaf,Plant
XTRA_DAW,UFMG-CM-Y456,Barbosa et al. 2016,ERR1111508,NA,Jequitiba tree,Bark,Tree,Plant
XTRA_DAX,UFMG-CM-Y457,Barbosa et al. 2016,ERR1111509,34. South American Wild,Non identified tree,NA,Tree,Plant
XTRA_DAY,UFMG-CM-Y463,Barbosa et al. 2016,ERR1111510,34. South American Wild,NA,NA,NA,NA
XTRA_DAZ,UFMG-CM-Y636,Barbosa et al. 2016,ERR1111511,24. Lab Strains,Tapirira guianensis,NA,Leaf,Plant
XTRA_DBA,UFMG-CM-Y643,Barbosa et al. 2016,ERR1111512,34. South American Wild,Quercus rubra,Bark,Tree,Plant
XTRA_DBB,UFMG-CM-Y644,Barbosa et al. 2016,ERR1111513,34. South American Wild,Non identified tree,NA,Tree,Plant
XTRA_DBC,EC1118,Coi et al. 2017,ERR1276734,4. Commercial Wine,haploid spore isolated from EC1118,NA,NA,Lab
XTRA_DBD,TUM 511,Barbosa et al. 2016,ERR1352842,4. Commercial Wine,California Ale,Ale,Brewery,Food
XTRA_DBE,TUM 381,Barbosa et al. 2016,ERR1352844,NA,Belgian Wheat Beer,Beer,Brewery,Food
XTRA_DBF,TUM 149,Barbosa et al. 2016,ERR1352845,NA,Wheat Beer,Wheat Beer,Brewery,Food
XTRA_DBG,TUM 205,Barbosa et al. 2016,ERR1352846,18. Belgium Beer 2,Wheat Beer,Wheat Beer,Brewery,Food
XTRA_DBH,TUM 175,Barbosa et al. 2016,ERR1352847,NA,Wheat Beer,Wheat Beer,Brewery,Food
XTRA_DBI,TUM 507,Barbosa et al. 2016,ERR1352848,NA,Ale Beer from Wheatmalt,Ale,Brewery,Food
XTRA_DBJ,TUM 208,Barbosa et al. 2016,ERR1352849,18. Belgium Beer 2,Alt Beer,Beer,Brewery,Food
XTRA_DBK,TUM 513,Barbosa et al. 2016,ERR1352850,18. Belgium Beer 2,California Ale,Ale,Brewery,Food
XTRA_DBL,TUM 308,Barbosa et al. 2016,ERR1352851,18. Belgium Beer 2,Alt Beer,Beer,Brewery,Food
XTRA_DBM,TUM 177,Barbosa et al. 2016,ERR1352852,18. Belgium Beer 2,K‚àö‚àÇlsh Beer,Beer,Brewery,Food
XTRA_DBN,TUM 174,Barbosa et al. 2016,ERR1352853,18. Belgium Beer 2,Alt Beer,Beer,Brewery,Food
XTRA_DBO,TUM 148,Barbosa et al. 2016,ERR1352854,18. Belgium Beer 2,Alt Beer,Beer,Brewery,Food
XTRA_DBP,TUM 338,Barbosa et al. 2016,ERR1352855,18. Belgium Beer 2,Alt Beer,Beer,Brewery,Food
XTRA_DBQ,TUM 213,Barbosa et al. 2016,ERR1352856,19. UK Beer,British Ale/Stout,Ale,Brewery,Food
XTRA_DBR,TUM 510,Barbosa et al. 2016,ERR1352857,19. UK Beer,British Ale,Ale,Brewery,Food
XTRA_DBS,TUM 503,Barbosa et al. 2016,ERR1352858,19. UK Beer,California Ale,Ale,Brewery,Food
